trial_number,embed_dim,num_heads,num_layers,dropout,pool,lr,num_epochs,accuracy
0,128,4,4,0.3,cls,0.0001,16,0.763
1,128,8,4,0.1,mean,0.0001,12,0.769
2,256,8,6,0.1,mean,0.0001,13,0.794
3,256,8,4,0.3,cls,0.0001,14,0.78
4,128,8,6,0.1,mean,0.0003,18,0.815
5,128,4,6,0.3,cls,0.0001,10,0.74
6,128,8,4,0.3,cls,0.0001,19,0.771
7,128,4,6,0.1,cls,0.0001,12,0.78
8,128,4,6,0.1,mean,0.0003,19,0.825
9,128,8,6,0.3,cls,0.0001,17,0.766
10,256,4,6,0.1,mean,0.0003,5,0.758
11,128,4,6,0.1,mean,0.0003,20,0.821
12,128,4,6,0.1,mean,0.0003,20,0.821
13,128,4,6,0.1,mean,0.0003,20,0.821
14,256,4,6,0.1,mean,0.0003,16,0.8
15,128,4,6,0.1,mean,0.0003,9,0.803
16,128,4,6,0.1,mean,0.0003,18,0.804
17,128,4,6,0.1,mean,0.0003,15,0.804
18,256,4,4,0.1,mean,0.0003,20,0.812
19,128,4,6,0.1,mean,0.0003,5,0.781
